Source,Target,Type,Id,Label,Weight,Color
예산,주말,Undirected,370,,25,"#ca0322"
예산,주차장,Undirected,371,,21,"#ca0020"
예산,지역,Undirected,372,,98,"#d4304a"
예산,최고,Undirected,373,,23,"#ca0121"
예산,축제,Undirected,374,,395,"#faeaec"
예산,페스티벌,Undirected,375,,66,"#cf1c39"
예산,한번,Undirected,376,,21,"#ca0020"
예산,행복하다,Undirected,377,,28,"#cb0424"
오픈,이동,Undirected,378,,48,"#cd112f"
오픈,클로즈,Undirected,379,,27,"#ca0423"
욕심,인간,Undirected,380,,27,"#ca0423"
음식,좋다,Undirected,381,,26,"#ca0323"
음식,지역,Undirected,382,,27,"#ca0423"
음식,축제,Undirected,383,,56,"#ce1633"
응원,좋다,Undirected,384,,26,"#ca0323"
응원,축제,Undirected,385,,22,"#ca0121"
응원,항상,Undirected,386,,47,"#cd102e"
이다,최고,Undirected,387,,27,"#ca0423"
이다,축제,Undirected,388,,20,"#ca0020"
이다,화이팅,Undirected,389,,23,"#ca0121"
이동,전화번호,Undirected,390,,32,"#cb0726"
이동,처음,Undirected,391,,48,"#cd112f"
이동,클로즈,Undirected,392,,48,"#cd112f"
이동,해도,Undirected,393,,24,"#ca0222"
이형,종원,Undirected,394,,27,"#ca0423"
잼버리,준비,Undirected,395,,20,"#ca0020"
잼버리,축제,Undirected,396,,26,"#ca0323"
저렴하다,축제,Undirected,397,,41,"#cc0d2b"
전국,축제,Undirected,398,,32,"#cb0726"
전용,화장실,Undirected,399,,28,"#cb0424"
정말,존경,Undirected,400,,20,"#ca0020"
정말,좋다,Undirected,401,,42,"#cc0d2c"
정치,정치인,Undirected,402,,34,"#cb0827"
좋다,지역,Undirected,403,,38,"#cc0b29"
좋다,진짜,Undirected,404,,45,"#cd0f2d"
좋다,축제,Undirected,405,,112,"#d53952"
좋다,하루,Undirected,406,,30,"#cb0625"
좋다,항상,Undirected,407,,26,"#ca0323"
좋다,행복하다,Undirected,408,,38,"#cc0b29"
주말,즐겁다,Undirected,409,,22,"#ca0121"
