Video_ID,Video_Title,Channel_Title,author,comment,published_at,published_at_timestamp,votes,replies,heart,reply,published_at_datetime,published_at_korean
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@우기열-o7q,"김말래님 반가와요
대구가 고향이라서----.
행복의 먹방 최고라요",6개월 전,1712575273.504114,0,,True,False,2024-04-08 11:21:13.504113912,2024-04-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@jh.h0911,"너무 아픈 사랑은 사랑이 아니었음을 

🎼🎵🎶 

삶을 살다보면 때로는 
머피의법칙 같은 날도 
있지만 ~'☆ 

늘항상 긍정적으로 살다 보면 
반드시 좋은날도 꼭 찾아 
올거라 믿어요 ^^* 

늘항상 모두 다같이 
건강및 행복하길 ~'♡ 

🌹😍😘💝👍 

삶이 그대를 속일지라도 : 푸쉬킨 시

삶이 그대를 속일지라도
슬퍼하거나 노여워하지 말아라.
슬픈 날엔 참고 견디라.
즐거운 날은 오고야 말리니.

☘🍀🕊🎆🎇✨🌟💎",6개월 전,1712575273.509014,2,,True,False,2024-04-08 11:21:13.509013891,2024-04-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@이창호-s6s,이 영상보고. 말래님에게 달려가고 싶은 충동 ~~,7개월 전,1709896873.513847,0,,True,False,2024-03-08 11:21:13.513847112,2024-03-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@뱅진이,표정이 귀여워용~~~😅,7개월 전(수정됨),1709896873.519811,0,,True,False,2024-03-08 11:21:13.519810915,2024-03-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@영수심-n8v,"인생이 짧지만, 사랑이 뭔지... 그래도 님의 낭군, 반쪽도 같은 하늘 아래 숨 쉬고 있으니, 좋은 때에 만나시길 바라오",7개월 전,1709896873.524743,0,,True,False,2024-03-08 11:21:13.524743080,2024-03-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@사군자-d5o,너무 잼 있어요,7개월 전,1709896873.529589,0,,True,False,2024-03-08 11:21:13.529588937,2024-03-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@우리집정원,아오~~~덤벙이,7개월 전,1709896873.534349,0,,False,False,2024-03-08 11:21:13.534348964,2024-03-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@우리집정원,잘드신다~ 살 안찌는거 보면 조상덕인듯,7개월 전(수정됨),1709896873.539083,0,,False,False,2024-03-08 11:21:13.539083004,2024-03-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@병약소년구바나나,"46세인데 20대처럼 상큼하고
그래요 화장을 잘하셔서 그런가?
아나운서같은 느낌이 있어요",8개월 전,1707391273.543827,0,,True,False,2024-02-08 11:21:13.543827057,2024-02-08 11:21:13
cnniBxGOVoA,비 맞으며 치맥 먹다 다리 다치고 눈물 젖은 김치찌개에 소주 마시는 46세 술또(라이) 일상(ft.치맥 페스티벌) #유튜브라이브,김말레,@DavidGALE-p8w,홀딱젖엇어ㅋㅋㅋ개웃겨ㅋㅋ안됐는데.웃겨죽것다ㅋㅋ,8개월 전,1707391273.548574,0,1,True,False,2024-02-08 11:21:13.548573971,2024-02-08 11:21:13
